,ID,day_tomoe,theta,distance,az1[deg]_sensor,el1[deg]_sensor,az2[deg]_sensor,el2[deg]_sensor,az3[deg]_sensor,el3[deg]_sensor,az4[deg]_sensor,el4[deg]_sensor
97,584324_068,18,1.508700176,0.097521227,236.3641266,28.07781532,236.0804005,27.80364396,235.5276178,28.24736128,235.8115184,28.52290715
98,584332_074,18,1.088456785,0.098832846,236.0413565,26.16762184,235.7634206,25.89209228,235.2187029,26.33485163,235.4962804,26.61057351
99,584334_068,18,2.336312298,0.067169785,237.2605496,27.34500552,236.9773973,27.07260317,236.4304873,27.51887115,236.7146838,27.79316652
100,584334_091,18,13.51058952,1.436129491,237.2604196,27.34475213,236.9773481,27.07251473,236.4303105,27.51889135,236.7143204,27.79310504
101,584344_092,18,12.43978791,1.647880685,238.1416489,26.60649017,237.8575032,26.33567221,237.3188515,26.78699636,237.6029002,27.05845232
102,584411_011,18,0.343654801,0.212256252,233.8588752,26.84016667,233.5854336,26.55966529,233.0276382,26.99311882,233.3016762,27.27355202
103,584414_093,18,6.32705944,0.026547691,235.6732993,28.63050732,235.3888657,28.35502999,234.8317593,28.79755752,235.1152566,29.07297344
104,585813_113,18,68.04563035,1.367346334,234.1296343,28.75481719,233.8510258,28.47561807,233.2835832,28.90844375,233.5619502,29.18951576
105,585822_113,18,68.02205208,2.669123822,234.4454987,27.43509941,234.1674634,27.15795312,233.6114826,27.59471807,233.8889797,27.87327419
106,585822_114,18,68.55482383,2.473158421,234.4455222,27.43515683,234.1672678,27.15807152,233.6117324,27.59474248,233.8888366,27.8732413
107,585832_038,18,86.8062073,1.222125012,235.3526173,26.72044841,235.0760723,26.44305577,234.5245343,26.8810821,234.8007357,27.15908914
108,585841_113,18,89.96761441,4.135989551,235.6515969,25.4005112,235.3767338,25.1238624,234.8329636,25.56372516,235.1056583,25.84119758
109,585912_089,18,37.55308384,1.066243818,233.7473316,27.97984209,233.4708083,27.70015286,232.9079776,28.13220216,233.1840346,28.41346054
110,585922_097,18,0.996850872,0.121636077,234.6631126,27.26148136,234.3845649,26.98490159,233.8306863,27.42287989,234.1087757,27.70085514
111,585923_088,18,1.143735452,0.164955674,235.2662259,27.86108152,234.9863416,27.58411209,234.4291884,28.02290271,234.7085165,28.30085967
112,585933_088,18,0.277421905,0.168767959,236.1717913,27.13967443,235.8922464,26.86321042,235.3410896,27.3051257,235.6207411,27.58166194
113,585943_088,18,0.427167136,0.164827692,237.0623567,26.40438404,236.7813009,26.13095793,236.2390548,26.57684182,236.5192341,26.85163002
114,586012_040,18,33.67942982,0.100179008,233.9680903,27.80746963,233.6910069,27.52865339,233.1298962,27.9620673,233.4058576,28.24240843
115,586013_041,18,1.162974864,0.184425244,234.5721886,28.40798341,234.2926473,28.13001349,233.7297615,28.56535578,234.0088483,28.84524962
116,586013_042,18,1.674512632,0.181525101,234.5720003,28.40806373,234.2928299,28.12987188,233.7299411,28.56529139,234.0087727,28.84515795
117,586013_087,18,23.94742596,0.303330381,234.5723265,28.40829891,234.2930562,28.12969486,233.7301466,28.56550864,234.0090282,28.84511012
118,586022_041,18,2.855987543,0.146637029,234.8797438,27.08711682,234.6015024,26.81109406,234.049385,27.2505195,234.3277947,27.52824311
119,586022_042,18,1.15887636,0.150537126,234.8799995,27.08729607,234.6017255,26.81093365,234.0495359,27.25078729,234.3276599,27.52822537
120,586144_008,18,77.18291482,0.225901354,238.0920724,26.63406748,237.8077635,26.36336679,237.2686155,26.81330445,237.5525196,27.08541089
121,586241_089,18,85.3679994,1.302329117,236.48796,24.69262874,236.2121081,24.41786016,235.6754884,24.86168972,235.9506791,25.13677118
122,586316_109,18,4.926166783,0.458578663,237.0812129,29.65574061,236.7909681,29.38368984,236.2329924,29.8310535,236.5233432,30.10485301
123,586316_109,18,7.504898132,2.545512348,237.0812129,29.65574061,236.7909681,29.38368984,236.2329924,29.8310535,236.5233432,30.10485301
124,586316_110,18,3.897778971,0.471487208,237.0811807,29.65564249,236.7908861,29.38378003,236.2328573,29.83095122,236.5232405,30.10484265
125,586316_110,18,6.47651032,2.566704886,237.0811807,29.65564249,236.7908861,29.38378003,236.2328573,29.83095122,236.5232405,30.10484265
126,586323_111,18,2.08518691,0.050782419,236.131058,27.15566718,235.8499438,26.88099823,235.301372,27.32432087,235.5819774,27.59973033
127,586324_023,18,56.07454096,1.117631932,236.7436068,27.7474684,236.4603745,27.47408909,235.9111561,27.91943583,236.1944971,28.19366162
128,586324_023,18,85.78143049,1.030153122,236.7436068,27.7474684,236.4603745,27.47408909,235.9111561,27.91943583,236.1944971,28.19366162
129,586324_025,18,8.163201118,1.141161936,236.7440417,27.7477101,236.4600893,27.47417984,235.911257,27.91951684,236.1944876,28.19380802
130,586332_024,18,86.59525706,2.900311578,236.4153694,25.83752168,236.1373248,25.56276186,235.5954871,26.00701069,235.8729985,26.28231337
131,586333_023,18,86.11359911,2.176199505,237.0231887,26.42673035,236.7426991,26.15374062,236.1998099,26.59947899,236.4800537,26.8738388
132,586412_014,18,8.345085586,0.00813359,233.5369262,28.14225497,233.2606375,27.86184432,232.6949497,28.29345859,232.9709941,28.57449326
